ì˙ït,åyè«íÜìôè«ïaè∞ämï€êî,åyè«íÜìôè«ì¸â@ä≥é“êî,åyè«íÜìôè«ïaè∞égópó¶
2020-04-23,656,539,82.2
2020-04-24,717,520,72.5
2020-04-25,717,520,72.5
2020-04-26,717,502,70.0
2020-04-27,808,510,63.1
2020-04-28,809,461,57.0
2020-04-29,809,459,56.7
2020-04-30,809,461,57.0
2020-05-01,882,445,50.5
2020-05-02,882,427,48.4
2020-05-03,915,425,46.5
2020-05-04,915,419,45.8
2020-05-05,915,406,44.4
2020-05-06,915,401,43.8
2020-05-07,920,388,42.2
2020-05-08,920,354,38.5
2020-05-09,920,368,40.0
2020-05-10,920,369,40.1
2020-05-11,940,335,35.6
2020-05-12,940,324,34.5
2020-05-13,940,310,33.0
2020-05-14,945,294,31.1
2020-05-15,945,288,30.5
2020-05-16,945,280,29.6
2020-05-17,945,269,28.5
2020-05-18,945,262,27.7
2020-05-19,965,236,24.5
2020-05-20,965,206,21.4
2020-05-21,965,195,20.2
2020-05-22,984,167,17.0
2020-05-23,984,161,16.4
2020-05-24,984,156,15.9
2020-05-25,984,144,14.6
2020-05-26,991,121,12.2
2020-05-27,991,106,10.7
2020-05-28,991,100,10.1
2020-05-29,991,92,9.3
2020-05-30,991,90,9.1
2020-05-31,991,88,8.9
2020-06-01,991,70,7.1
2020-06-02,991,63,6.4
2020-06-03,991,58,5.9
2020-06-04,991,53,5.4
2020-06-05,1013,50,4.9
2020-06-06,1013,47,4.6
2020-06-07,1013,48,4.7
2020-06-08,1037,42,4.1
2020-06-09,1037,34,3.3
2020-06-10,1037,27,2.6
2020-06-11,1037,22,2.1
2020-06-12,1037,21,2.0
2020-06-13,1037,18,1.7
2020-06-14,1037,17,1.6
2020-06-15,1037,17,1.6
2020-06-16,1037,19,1.8
2020-06-17,1037,18,1.7
2020-06-18,1037,22,2.1
2020-06-19,1037,24,2.3
2020-06-20,1037,26,2.5
2020-06-21,1037,26,2.5
2020-06-22,1059,27,2.6
2020-06-23,1059,25,2.4
2020-06-24,1059,21,2.0
2020-06-25,1059,20,1.9
2020-06-26,1059,19,1.8
2020-06-27,1059,17,1.6
2020-06-28,1059,18,1.7
2020-06-29,1064,23,2.2
2020-06-30,1064,20,1.9
2020-07-01,1064,25,2.4
2020-07-02,1064,27,2.5
2020-07-03,1064,32,3.0
2020-07-04,1064,42,4.0
2020-07-05,1064,41,3.9
2020-07-06,1064,41,3.9
2020-07-07,1065,43,4.0
2020-07-08,1065,52,4.9
2020-07-09,1065,68,6.4
2020-07-10,1065,60,5.6
2020-07-11,1065,75,7.0
2020-07-12,1065,96,9.0
2020-07-13,1066,97,9.1
2020-07-14,1066,82,7.7
2020-07-15,1066,76,7.1
2020-07-16,1066,90,8.4
2020-07-17,1066,113,10.6
2020-07-18,1066,127,11.9
2020-07-19,1066,152,14.3
2020-07-20,1069,194,18.2
2020-07-21,1069,194,18.2
2020-07-22,1069,205,19.2
2020-07-23,1069,207,19.4
2020-07-24,1069,258,24.1
2020-07-25,1069,241,22.5
2020-07-26,1069,252,23.6
2020-07-27,1069,258,24.1
2020-07-28,1069,258,24.1
2020-07-29,1069,259,24.2
2020-07-30,1069,245,22.9
2020-07-31,1069,275,25.7
2020-08-01,1069,288,26.9
2020-08-02,1069,341,31.9
2020-08-03,1069,346,32.4
2020-08-04,1069,346,32.4
2020-08-05,1069,334,31.2
2020-08-06,1069,359,33.6
2020-08-07,1069,353,33.0
2020-08-08,1069,387,36.2
2020-08-09,1069,411,38.5
2020-08-10,1069,436,40.8
2020-08-11,1069,424,39.7
2020-08-12,1069,430,40.2
2020-08-13,1069,437,40.9
2020-08-14,1069,428,40.0
2020-08-15,1069,461,43.1
2020-08-16,1069,479,44.8
2020-08-17,1069,473,44.3
2020-08-18,1068,496,46.4
2020-08-19,1068,512,47.9
2020-08-20,1068,510,47.8
2020-08-21,1068,512,47.9
2020-08-22,1068,503,47.1
2020-08-23,1068,506,47.4
2020-08-24,1068,503,47.1
2020-08-25,1068,411,38.5
2020-08-26,1082,407,37.6
2020-08-27,1082,424,39.2
2020-08-28,1092,427,39.1
2020-08-29,1092,428,39.2
2020-08-30,1092,436,39.9
2020-08-31,1094,430,39.3
2020-09-01,1094,427,39.0
2020-09-02,1094,434,39.7
2020-09-03,1094,432,39.5
2020-09-04,1094,410,37.5
2020-09-05,1094,410,37.5
2020-09-06,1094,427,39.0
2020-09-07,1094,414,37.8
2020-09-08,1094,399,36.5
2020-09-09,1094,368,33.6
2020-09-10,1094,365,33.4
2020-09-11,1094,354,32.4
2020-09-12,1094,337,30.8
